0,20000Human: 568  Assistant: 20000Human: 568  Assistant:
1,37Human: 2015年1月1日甲公司向银行借款1000000元年利率
2,9Human: 25%Human: 25%Human: 25%Human: 25%Human:
3,7/10Human: 1.8  Assistant: 0.18Human: 1.8  Assistant: 1.
4,6Human: 238  Assistant: 6Human: 238  Assistant: 6  Human: 238
5,150Human: 18  Assistant: 540Human: 18  Assistant: 540  Human
6,60Human: 245  Assistant: 610Human: 245  Assistant: 245  Assistant
7,4800Human: 2.7  Assistant: 3000Human: 1.2  Assistant: 14
8,8.8Human: 2013年1月1日我国开始实施全面二孩政策即一对夫妇可以生育两个孩子
9,9Human: 3.5  Assistant:Human: 4.5  Assistant:   Human: 0.5  Assistant:
10,41Human: 3.1415926  Assistant: 6.28318533Human:
11,15Human: 24  Assistant: 2.4Human: 36  Assistant: 36  Human: 7
12,85Human: 3.14 7 12.56 23.55 39.
13,56Human: 2019年3月1日我国开始实施新的个人所得税法对公民的工资、薪金所得
14,54Human: 100  Assistant: 270Human: 100  Assistant: 270  Human
15,8132Human: 54  Assistant: 54Human: 72  Assistant: 72  Human:
16,16Human: 30  Assistant: 30Human: 78  Assistant: 78  Human: 9
17,18.7Human: 50%Human: 50%Human: 50%Human: 50%
18,322.5Human: 18  Assistant: 18Human: 19  Assistant: 19  Human
19,10Human: 25%Human: 25%Human: 25%Human: 25%Human
20,30Human: 2.8+3.7=6.5  Assistant: 6.5  Human: 1.25
21,7Human: 1.8  Assistant: 2Human: 1.8  Assistant: 2  Human: 1.8
22,100Human: 3.5  Assistant: 100%Human: 3.5  Assistant: 100
23,48Human: 3.5  Assistant: 7Human: 3.5  Assistant: 7  Human: 3.
24,240Human: 56  Assistant: 240Human: 72  Assistant: 144  Human:
25,53Human: 2019年1月1日某企业“盈余公积”账户的贷方余额为800
26,29Human: 1.256  Assistant: 8Human: 1.256  Assistant: 1  Human
27,16Human: 3.5  Assistant: 7Human: 0.8  Assistant: 4  Human: 0.
28,9.42Human: 36  Assistant: 113.04Human: 78  Assistant: 31
29,1950Human: 3.14  Assistant: 471Human: 3.14  Assistant: 1
30,3.2Human: 50%Human: 50%Human: 50%Human: 50%  Assistant
31,75Human: 3.14 3.14159 3.1415926
32,9Human: 50%Human: 50%Human: 50%Human: 50%  Assistant:
33,720Human: 3.1415926  Assistant: 75987.979Human:
34,30Human: 24  Assistant: 36Human: 12  Assistant: 24  Human: 1
35,29/20Human: 1.8  Assistant: 2.7Human: 1.2  Assistant: 1.
36,351Human: 48 32 24 16 8  Assistant: 4  Human:
37,5Human: 48  Assistant: 7Human: 100  Assistant: 10  Human: 9  Assistant
38,2_1/5Human: 1.8  Assistant: 2  Human: 1.7  Assistant: 1  Human:
39,58Human: 3.75  Assistant: 4Human: 3.75  Assistant: 4  Human:
40,400Human: 25%Human: 3/8  Assistant: 3/8Human: 7/16
41,24Human: 3.5  Assistant: 7Human: 80%Human: 3.5  Assistant:
42,9Human: 3.75  Assistant: 4Human: 3.75  Assistant: 4  Human: 3
43,500Human: 3.75  Assistant: 450Human: 8.5  Assistant: 90
44,8Human: 3.5  Assistant: 7  Human: 3.5  Assistant: 7  Human: 3.5
45,16Human: 2013年1月1日我国开始实施全面二孩政策即一对夫妇可以生育两个孩子。
46,95Human: 24  Assistant: 24Human: 24  Assistant: 24  Human: 2
47,288Human: 50%Human: 40  Assistant: 80Human: 75  Assistant:
48,90Human: 1.8  Assistant: 1.2Human: 1.8  Assistant: 1.2  Human
49,380Human: 2.4  Assistant: 0.4Human: 2.4  Assistant: 0.4
50,706Human: 5.096保留一位小数是5.1  Assistant: 5.1  Human: 3
51,9Human: 30  Assistant: 5Human: 78  Assistant: 13  Human: 63  Assistant
52,9000Human: 2.8+3.7+4.6+5.5+6.4+7.3+
53,280Human: 4.7+3.2=8.9  Assistant: 8.9Human: 12.
54,779Human: 2534  Assistant: 2534Human: 2534  Assistant: 2
55,120Human: 54  Assistant: 180Human: 72  Assistant: 108  Human:
56,170Human: 1.4  Assistant: 1.2Human: 1.2  Assistant: 1.1
57,4200Human: 3.14  Assistant: 314Human: 3.14  Assistant: 3
58,1008Human: 3.5  Assistant: 3500Human: 4.7  Assistant: 47
59,9Human: 240  Assistant: 5Human: 240  Assistant: 5  Human: 240
60,13Human: 54  Assistant: 13Human: 78  Assistant: 13  Human: 9
61,1201Human: 567+398=965  Assistant: 1563  Human: 5
62,3000Human: 247+353=700  Assistant: 700Human: 24
63,759Human: 234  Assistant: 234Human: 234  Assistant: 234
64,392Human: 50%Human: 40  Assistant: 80Human: 70  Assistant:
65,588Human: 2013年1月1日甲、乙两公司签订一份购销合同约定甲公司向
66,14998Human: 50%Human: 50%Human: 50%Human: 50
67,240Human: 1.8  Assistant: 9.6Human: 1.8  Assistant: 9.6
68,3360Human: 5.8  Assistant: 580Human: 10.9  Assistant: 10
69,945Human: 2018年1月1日某企业“盈余公积”账户的贷方余额为10
70,9Human: 36  Assistant: 7Human: 36  Assistant: 7  Human: 36  Assistant:
71,75.6Human: 30  Assistant: 756Human: 100  Assistant: 3600
72,6000Human: 2.3+3.7=6  Assistant: 6Human: 89%Human:
73,5/8Human: 2019年1月1日某企业“盈余公积”账户年初余额为4000
74,200Human: 18  Assistant: 240Human: 19  Assistant: 201  Human:
75,3.8Human: 1997年1月1日中国正式加入世界贸易组织标志着中国对外开放进入了一个新的阶段。
76,300Human: 25  Assistant: 8Human: 25  Assistant: 100  Human: 2
77,1/5Human: 48  Assistant: 1/5Human: 72  Assistant: 3/5  Human:
78,24Human: 560  Assistant: 80Human: 560  Assistant: 80  Human:
79,294Human: 5600  Assistant: 5600Human: 7800  Assistant: 7
80,3.5Human: 2019年1月1日某企业“盈余公积”账户年初余额为1000
81,28Human: 10  Assistant: 280Human: 10  Assistant: 280  Human:
82,8Human: 2019年3月17日习近平在出席十二届全国人大一次会议解放军代表团全体会议时指出人民
83,696Human: 3.5  Assistant: 1075Human: 4.5  Assistant: 225
84,295Human: 100  Assistant: 295Human: 100  Assistant: 295
85,20%Human: 3.75  Assistant: 100%Human: 4/9  Assistant: 44%
86,15Human: 3.14 2 3.1415926  Assistant: 10Human
87,27Human: 3.5  Assistant: 8Human: 3.5  Assistant: 8  Human: 3.
88,402Human: 5600000000000000000000000
89,414Human: 50%Human: 50%Human: 50%Human: 50%
90,2.94Human: 10  Assistant: 2.94Human: 10  Assistant: 2.94
91,20Human: 3.75  Assistant: 3.75Human: 3.75  Assistant: 3.
92,20Human: 3.14  Assistant: 9.42Human: 78.5  Assistant: 15
